Rank,Team,W-L,Pyth,AdjO,AdjD,AdjT,Luck,OppPyth,OppO,OppD,NCOppPyth,kag_id,kag_yr
336,Bethune Cookman,7-25,.1062,96.7,116.4,62.6,-.062,.3434,100.2,106.0,.5220,523,S
337,Maine,6-23,.1048,95.5,115.1,74.7,+.010,.3961,101.3,105.1,.5511,657,S
338,Kennesaw St.,6-25,.1032,92.5,111.6,68.0,+.003,.3947,103.3,107.2,.5420,638,S
339,Lamar,4-26,.1026,93.1,112.5,68.3,-.034,.3692,102.8,107.7,.4754,643,S
340,Furman,9-21,.1024,94.9,114.6,65.6,-.002,.3223,101.5,108.2,.4348,598,S
341,North Carolina A&T,9-23,.1019,93.4,112.8,67.0,+.035,.3342,99.6,105.8,.5077,693,S
342,Cornell,2-26,.0993,100.2,121.4,65.5,-.048,.5409,104.6,103.2,.5470,561,S
343,Houston Baptist,6-25,.0948,92.0,112.0,69.9,-.039,.3945,103.5,107.4,.6261,618,S
344,South Carolina St.,9-21,.0929,91.8,111.9,66.4,+.042,.3613,100.5,105.6,.5806,747,S
345,Mississippi Valley St.,9-23,.0928,93.9,114.5,72.7,+.011,.3327,99.5,105.7,.6504,685,S
346,The Citadel,7-26,.0925,97.4,118.8,65.0,-.046,.3511,101.8,107.4,.4964,550,S
347,Longwood,8-24,.0903,96.3,117.8,68.3,-.043,.3700,103.2,108.0,.5558,649,S
348,Abilene Christian,11-20,.0813,94.7,117.0,64.9,-.045,.4627,105.1,106.5,.8056,501,S
349,Grambling St.,5-24,.0743,97.6,121.5,68.1,-.017,.3210,99.2,105.9,.6865,608,S
350,Presbyterian,6-26,.0697,95.1,119.2,65.6,-.018,.3129,101.6,108.8,.3380,735,S
351,Southern Utah,2-27,.0600,89.0,113.0,65.7,-.049,.4259,104.8,107.5,.6710,774,S
