"Rk","School","G","W","L","W-L%","SRS","SOS","W","L","W","L","W","L","Tm.","Opp.","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","season"
"18","Auburn","31","15","16",".484","2.52","3.84","5","11","14","3","1","10","1942","1983","696","1669",".417","156","517",".302","394","608",".648","338","1063","386","199","149","419","573","Q"
"19","Austin Peay","32","12","20",".375","-4.86","-0.66","8","8","8","5","4","12","2216","2324","792","1781",".445","139","433",".321","493","735",".671","388","1077","388","230","115","466","574","Q"
"20","Ball State","30","15","15",".500","-2.93","-4.45","6","10","10","5","5","9","1901","1822","647","1536",".421","191","581",".329","416","604",".689","336","1015","400","182","79","388","501","Q"
"21","Baylor","38","30","8",".789","16.54","8.03","12","6","14","3","8","3","2839","2483","1004","2148",".467","259","676",".383","572","759",".754","470","1385","570","286","178","522","674","Q"
"22","Belmont","35","27","8",".771","11.81","-1.22","16","2","13","1","10","6","2831","2363","975","2026",".481","309","817",".378","572","779",".734","399","1252","606","255","78","430","631","Q"
"23","Bethune-Cookman","35","18","17",".514","-9.11","-7.05","11","5","9","3","5","12","2276","2319","818","1890",".433","178","522",".341","462","702",".658","413","1083","416","241","95","471","663","Q"
"24","Binghamton","31","2","29",".065","-20.14","-6.24","1","15","1","13","0","15","1762","2193","627","1579",".397","132","437",".302","376","538",".699","278","952","346","187","67","462","554","Q"
"25","Boise State","30","13","17",".433","3.52","3.14","3","11","11","5","1","11","2050","1988","708","1653",".428","227","664",".342","407","589",".691","328","1007","346","183","56","366","544","Q"
"26","Boston College","31","9","22",".290","-4.54","4.89","4","12","8","9","0","10","1833","2125","629","1543",".408","225","664",".339","350","520",".673","222","924","354","153","89","454","491","Q"
"27","Boston University","32","16","16",".500","-3.74","-4.09","12","4","7","5","8","9","2045","2034","725","1717",".422","202","634",".319","393","583",".674","351","1107","371","187","98","434","537","Q"
"28","Bowling Green State","32","16","16",".500","1.23","0.07","9","7","12","4","4","12","2125","2046","823","1795",".458","156","461",".338","323","474",".681","363","1070","438","247","103","425","538","Q"
"29","Bradley","32","7","25",".219","-5.79","3.62","2","16","6","10","1","12","1955","2256","689","1720",".401","151","503",".300","426","625",".682","302","1054","343","204","99","438","550","Q"
"30","Brigham Young","35","26","9",".743","11.25","1.55","12","4","13","3","8","3","2727","2358","977","2099",".465","233","679",".343","540","771",".700","381","1347","599","296","154","473","637","Q"
"31","Brown","31","8","23",".258","-12.52","-3.62","2","12","6","9","1","12","1907","2154","685","1695",".404","234","647",".362","303","483",".627","280","1001","413","162","79","382","497","Q"
"32","Bryant","30","2","28",".067","-17.90","-4.27","1","17","1","10","0","17","1852","2261","656","1626",".403","209","690",".303","331","480",".690","293","942","376","133","64","441","552","Q"
"33","Bucknell","35","25","10",".714","3.57","-3.08","12","2","14","3","11","7","2410","2147","836","1813",".461","206","526",".392","532","687",".774","314","1237","478","152","112","416","595","Q"
"34","Buffalo","31","20","11",".645","4.15","0.15","12","4","12","2","8","8","2262","2090","806","1734",".465","212","601",".353","438","665",".659","374","1245","511","174","157","464","549","Q"
"35","Butler","37","22","15",".595","2.86","1.14","11","7","13","6","7","9","2352","2245","823","2014",".409","183","651",".281","523","806",".649","468","1323","454","239","123","485","715","Q"
"36","Cal Poly","33","18","15",".545","-0.58","-3.78","8","8","10","4","5","10","2136","1998","772","1800",".429","226","642",".352","366","524",".698","406","1138","417","188","51","351","594","Q"
"37","Cal State Bakersfield","31","16","15",".516","-7.15","-3.65","0","0","10","3","6","12","2121","2154","761","1676",".454","198","542",".365","401","587",".683","352","971","439","248","107","457","614","Q"
"38","Cal State Fullerton","31","21","10",".677","-1.18","-5.32","12","4","13","1","7","7","2417","2205","833","1763",".472","266","658",".404","485","699",".694","385","1165","464","174","84","475","603","Q"
"39","Cal State Northridge","28","7","21",".250","-12.65","-2.61","3","13","4","8","3","13","1908","2101","641","1671",".384","170","554",".307","456","604",".755","397","981","375","175","67","384","627","Q"
"40","California-Davis","31","5","26",".161","-15.60","-2.63","3","13","4","8","1","14","1924","2307","661","1614",".410","240","650",".369","362","529",".684","278","961","371","151","70","479","574","Q"
"41","California-Irvine","32","12","20",".375","-6.07","-1.24","6","10","8","6","3","11","2179","2309","776","1861",".417","250","700",".357","377","592",".637","375","1188","493","156","131","489","598","Q"
"42","California-Riverside","31","14","17",".452","-8.01","-2.22","7","9","8","5","5","9","1841","1954","684","1669",".410","130","422",".308","343","498",".689","308","1042","308","148","123","411","536","Q"
"43","California-Santa Barbara","31","20","11",".645","4.00","-1.38","12","4","11","3","7","7","2262","2059","809","1757",".460","227","593",".383","417","601",".694","382","1168","464","172","155","367","539","Q"
"44","California","34","24","10",".706","13.79","4.53","13","5","17","1","5","6","2419","2104","893","1878",".476","156","430",".363","477","641",".744","341","1182","540","159","106","411","489","Q"
"45","Campbell","32","17","15",".531","-6.06","-4.80","11","7","11","2","6","12","2370","2361","846","1748",".484","169","452",".374","509","761",".669","329","1129","496","196","167","454","648","Q"
"46","Canisius","30","5","25",".167","-14.73","-4.53","1","17","3","10","2","14","1965","2271","704","1731",".407","191","580",".329","366","503",".728","371","1043","327","192","76","442","539","Q"
"47","Central Arkansas","29","8","21",".276","-17.26","-4.83","3","13","6","7","2","14","2058","2371","786","1884",".417","150","490",".306","336","605",".555","425","1091","426","235","92","445","588","Q"
"48","Central Connecticut State","29","13","16",".448","-5.36","-5.05","10","8","10","3","3","12","2029","2038","717","1689",".425","180","524",".344","415","547",".759","345","975","393","235","103","424","541","Q"
